Symbol,Name,Stock_Price,Change,Pc_change,High,Low,Volume
CTRA,Contura Energy Inc,7.64,0.4,5.52%,7.88,6.97,261300
LYTS,L S I Industries,6.05,0.02,0.33%,6.25,5.99,251800
BNED,Barnes & Noble Education Inc C,3.72,0,0.00%,3.84,3.62,249300
OCUL,Ocular Therapeut,4.44,0.01,0.23%,4.48,4.33,246700
PBPB,Potbelly Corp,4.15,-0.18,-4.16%,4.41,4.12,241900
SFET,Safe-T Group Ltd ADR,2.96,-0.14,-4.52%,3.3,2.95,241800
MNLO,Menlo Therapeutics Inc,5.6,-0.01,-0.18%,5.71,5.3,241700
FENC,Fennec Pharmaceuticals Inc,6.88,-0.1,-1.47%,8.4,6.87,241200
BXRX,Baudax Bio Inc,7.82,0.58,8.01%,7.95,7.25,240500
RMTI,Rockwell Medical IN,2.25,-0.05,-2.17%,2.31,2.22,239600
REKR,Rekor Systems Inc,4.02,0.19,4.96%,4.05,3.83,237200
MCRB,Seres Theraptc,2.99,0.12,4.18%,3.01,2.86,235200
NEON,Neonode Inc,2.49,0.32,14.75%,2.88,2.15,228700
EGY,Vaalco Energy Inc,2.51,-0.02,-0.79%,2.54,2.48,227900
BVSN,Broadvision Inc,2.96,0.49,19.84%,3.07,2.5,225600
AMSC,Amer Superconductor,7.45,0.21,2.83%,7.54,7.11,225500
TCS,The Container Store Group Inc,4.11,0.07,1.73%,4.13,3.99,223600
MTBC,Medical Transc Bl,4.75,0.3,6.74%,4.89,4.5,218300
APTX,Aptinyx Inc,3.25,0.04,1.09%,3.4,3.05,216000
HCHC,Hc2 Holdings Inc,2.29,0,0.00%,2.33,2.25,215500
ARAV,Aravive Inc,13.18,0.07,0.53%,13.4,12.53,215400
TEDU,Tarena Intl ADR,2.61,0.05,1.95%,2.63,2.53,214600
CATB,Catabasis Pharma,6.55,0.24,3.80%,6.69,6.24,208900
SLNO,Soleno Therapeutics Inc,3.11,0.06,1.97%,3.22,3,208400
PSTI,Pluristem Therapeutc,4,-0.24,-5.66%,4.32,3.97,207300
RYAM,Rayonier Advanced Materials Inc,3.93,0.01,0.26%,3.93,3.77,206300
SELB,Selecta Biosciences,2.91,-0.03,-1.02%,2.98,2.77,205300
CLWT,Euro Tech Hld,2.65,0.2,8.21%,2.8,2.35,203200
CPLP,Capital Product Part,13.38,0.01,0.07%,13.43,13.1,202300
CANF,Can-Fite Biopharma Ltd,2.69,-0.07,-2.54%,2.76,2.6,201900
THCA,Tuscan Holdings Corp II,9.93,0.02,0.20%,9.93,9.91,201200
CCLP,CSI Compressco,2.39,-0.05,-2.05%,2.44,2.33,200000
PRTS,U.S. Auto Parts Netw,2.73,-0.13,-4.55%,2.94,2.68,197200
BGFV,Big 5 Sporting,3.1,-0.02,-0.64%,3.15,3.06,196200
SIC,Select Interior Concepts Inc Cl A,8.83,-0.12,-1.34%,8.95,8.8,196100
MRIC,Mri Interventions,5.55,0.4,7.77%,5.99,5.51,195100
HEPA,Hepion Pharmaceuticals Inc,5.12,-0.29,-5.36%,5.6,5.07,194600
SLRX,Salarius Pharmaceuticals Inc,3.14,-0.64,-16.93%,3.55,2.9,194600
AI,Arlington Asset Investment Corp,5.63,0.02,0.36%,5.64,5.6,194400
SES,Synthesis Energy Sys,7.6,0.59,8.42%,7.85,7.03,191900
ITI,Iteris Inc,5.43,0.2,3.82%,5.44,5.21,191300
TNAV,Telenav Inc,4.64,0.05,0.98%,4.65,4.52,188900
GSB,Globalscape,10.53,0.53,5.30%,10.64,9.85,187300
CLRB,Cellectar Biosc,2.51,-0.17,-6.34%,2.75,2.51,186300
RKDA,Arcadia Bio,5.1,-0.11,-2.11%,5.19,4.91,185600
XAIR,Beyond Air Inc,5.76,-0.3,-5.03%,6.2,5.5,183900
SACH,Sachem Capital Corp,4.51,0.03,0.67%,4.56,4.44,183800
ATIF,Atif Holdings Ltd,2.02,0.24,13.46%,2.12,1.82,183700
CSU,Capital Senior Living Corp,3.02,-0.28,-8.48%,3.38,2.95,183200
ADES,Advanced Emissions Solutions Inc,11.39,0.42,3.83%,11.44,11.03,182700
BCLI,Brainstorm Cell,4.38,0.03,0.69%,4.45,4.31,181400
KNDI,Kandi Techs Group,4.7,0.06,1.19%,4.79,4.66,181200
SD,Sandridge Energy Inc,3.77,-0.09,-2.33%,3.86,3.74,181100
CHMI,Cherry Hill Mortgage Investmen,14.54,0.09,0.62%,14.62,14.43,180600
TRMT,Tremont Mortgage Trust,5.6,0.22,4.09%,5.77,5.38,180600
CPTA,Capitala Finance Crp,8.83,0.1,1.15%,8.87,8.73,179600
CRVS,Corvus Pharma Com,4.57,-0.63,-12.12%,5.21,4.52,178900
CTSO,Cytosorbents Cor,4.13,0.16,4.03%,4.14,3.94,176600
ASPN,Aspen Aerogels Inc,9.44,0.72,8.26%,9.59,8.77,174800
KLXE,Klx Energy Services Holdings Inc,5.76,-0.22,-3.60%,6.05,5.76,173000
FLNT,Fluent Inc,2.29,0.02,0.88%,2.37,2.27,171700
HYRE,Hyrecar Inc,3.19,0.09,2.90%,3.38,2.99,169900
CVGI,Commercial Vehicle G,6,0,0.00%,6.14,5.96,165400
NBSE,Neu Base Therapeutics Inc,6.57,-0.53,-7.46%,7.06,6.37,162800
IMMP,Immutep Ltd ADR,2.08,0.03,1.46%,2.15,2,161100
CPST,Capstone Turbine Cp,3.1,0.13,4.38%,3.19,2.89,159300
UEPS,Net 1 Ueps Techs Inc,3.53,-0.03,-0.84%,3.59,3.47,158500
RESN,Resonant Inc,2.56,0.13,5.35%,2.57,2.4,157800
ICLK,Iclick Interactive Asia Group Ltd ADR,3.3,0,0.00%,3.39,3.26,157200
SNDX,Syndax Pharma,8.69,0.11,1.34%,9,8.52,156900
HOV,Hovnanian Enterprises Inc,22.88,1.18,5.44%,22.92,21.44,156900
BPTH,Bio-Path Holdings,6.9,-0.25,-3.50%,7.21,6.75,156800
