Symbol,Name,Stock_Price,Change,Pc_change,High,Low,Volume
C,Citigroup Inc,80.65,1.4,1.77%,80.71,79,16587500
AMRN,Amarin Corp Ads,19.75,0.8,4.22%,20.92,19.57,16534699
INTC,Intel Corp,59.59,0.65,1.10%,59.78,59.08,16455801
MU,Micron Technology,57.45,0.78,1.38%,57.78,56.86,16192000
PCG,Pacific Gas & Electric Company,11.07,0.87,8.53%,11.6,10.3,16036199
TEVA,Teva Pharmaceutical Industries Ltd,9.17,0.16,1.78%,9.18,8.77,16021600
SIRI,Sirius XM Holdings,7.05,0.05,0.71%,7.05,6.96,15845400
S,Sprint Corp,4.89,0.01,0.20%,4.91,4.76,15182699
ET,Energy Transfer LP,13.51,0.24,1.81%,13.62,13.22,14960199
PFE,Pfizer Inc,39.41,-0.08,-0.20%,39.77,39.21,14603900
FB,Facebook Inc,221.91,3.85,1.77%,221.97,219.21,14494500
KO,Coca-Cola Company,56.13,0.6,1.08%,56.23,55.42,14303101
VZ,Verizon Communications Inc,59.15,0.16,0.27%,59.37,58.78,14160300
INFY,Infosys Ltd,10.88,0.23,2.16%,10.98,10.8,13661100
MRO,Marathon Oil Corp,13.19,0.01,0.08%,13.26,12.89,12674600
KMI,Kinder Morgan,21.55,0.04,0.19%,21.65,21.33,12536500
JPM,JP Morgan Chase & Company,137.2,1.13,0.83%,137.2,135.76,12381800
SLB,Schlumberger N.V.,39.23,-0.6,-1.51%,39.84,38.97,11668000
MRVL,Marvell Tech Group,27.52,1.02,3.85%,27.54,26.65,11628601
HAL,Halliburton Company,23.75,-0.33,-1.37%,23.97,23.59,11446101
V,Visa Inc,195.33,1.56,0.81%,195.6,194.28,11292300
M,Macy's Inc,17.88,0.07,0.39%,17.99,17.55,11130600
BBD,Banco Bradesco S.A.,8.35,-0.02,-0.24%,8.41,8.32,11038600
TWTR,Twitter Inc,32.69,-0.09,-0.27%,33.07,32.49,11008199
ORCL,Oracle Corp,54.58,0.13,0.24%,54.79,54.36,10859900
ZNGA,Zynga Inc Cl A,6.77,0.15,2.27%,6.8,6.61,10417200
QCOM,Qualcomm Inc,90.97,0.71,0.79%,92.73,90.55,10372100
HPE,Hewlett Packard Enterprise Comp,15.55,0.08,0.52%,15.66,15.45,10123801
XOM,Exxon Mobil Corp,69.8,0.66,0.95%,69.87,69.11,9965200
DIS,Walt Disney Company,143.88,-0.74,-0.51%,144.75,143.36,9926300
MRK,Merck & Company,89.51,-0.02,-0.02%,89.63,89.02,9792300
SQ,Square,68.66,0.67,0.99%,69.05,67.82,9771500
PYPL,Paypal Holdings,115.28,2.35,2.08%,115.88,113.86,9652800
ABBV,Abbvie Inc,88.52,-0.54,-0.61%,89.5,87.92,9298800
HBAN,Huntington Bcshs,14.46,0.08,0.56%,14.5,14.35,9214000
GGB,Gerdau S.A.,5.24,0.17,3.35%,5.27,5.11,9178600
CTL,Centurylink,13.09,0.1,0.77%,13.12,12.88,9129101
SCHW,The Charles Schwab Corp,48.02,0.22,0.46%,48.25,47.78,8905900
KEY,Keycorp,19.48,0.03,0.15%,19.52,19.33,8704500
JBLU,Jetblue Airways Cp,18.6,-0.11,-0.59%,18.75,18.42,8571500
WPX,Wpx Energy Inc,12.89,-0.43,-3.23%,13.34,12.78,8511900
OXY,Occidental Petroleum Corp,46.57,0.67,1.46%,46.61,45.52,8457101
DAL,Delta Air Lines Inc,59.49,0.25,0.42%,59.7,59.03,8452000
GOLD,Barrick Gold Corp,17.45,-0.4,-2.24%,17.78,17.43,8420700
PG,Procter & Gamble Company,124.88,0.91,0.73%,124.9,123.81,8410300
NLY,Annaly Capital Management Inc,9.57,0.03,0.31%,9.6,9.55,8399801
MS,Morgan Stanley,52.78,0.57,1.09%,52.78,52.07,8335300
PINS,Pinterest Inc,19.62,-0.16,-0.81%,20,19.41,8120300
DD,Du Pont De.Nemours Inc,60.4,0.69,1.16%,60.42,59.31,8088700
NVDA,Nvidia Corp,251.98,7.66,3.14%,252.99,246.75,8008400
EBAY,Ebay Inc,34.73,-0.16,-0.46%,34.89,34.56,7988700
KGC,Kinross Gold Corp,4.35,-0.18,-3.97%,4.54,4.35,7980400
VER,Vereit Inc,9.36,0.1,1.08%,9.42,9.23,7970200
MO,Altria Group,50.76,0.54,1.08%,51.12,50,7777000
NUAN,Nuance Communicatns,19.35,0.95,5.16%,19.45,18.71,7637600
LYG,Lloyds Banking Group Plc,3.06,-0.07,-2.24%,3.07,3.03,7613900
COG,Cabot Oil & Gas Corp,17.19,-0.3,-1.72%,17.48,16.95,7588400
PE,Parsley Energy,17.52,-0.61,-3.36%,18.29,17.48,7554500
EXAS,Exact Sciences Cor,90.16,-14.28,-13.67%,95.95,90,7541700
MDLZ,Mondelez Intl Inc,54.59,0.34,0.63%,54.61,54.32,7528800
LB,L Brands Inc,20.19,0.78,4.02%,20.23,19.28,7490700
GM,General Motors Company,34.98,0.33,0.95%,35,34.49,7466800
SBUX,Starbucks Corp,91.08,0.92,1.02%,91.71,90.21,7382900
WMB,Williams Companies,23.78,0.28,1.19%,23.83,23.33,7317600
WU,Western Union Company,26.5,0.24,0.91%,26.56,26.09,7247800
HPQ,Hp Inc,21.46,0.08,0.37%,21.55,21.34,7157600
BILI,Bilibili Inc ADR,21.99,0.44,2.04%,22.83,21.85,7116900
CRWD,Crowdstrike Holdings Inc,58.97,1.77,3.09%,59.74,57,7045500
UNH,Unitedhealth Group Inc,285.85,-9.28,-3.14%,294.45,285.02,6996700
MET,Metlife Inc,52.58,0.11,0.21%,52.76,52.33,6924900
TECK,Teck Resources Ltd,15.82,-0.02,-0.13%,15.91,15.77,6893600
